"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","country"
"220",0.788,0.749,7,-3.959,1,0.0692,0.634,0,0.208,0.55,98.032,"audio_features","5A0ut5JjeNLgGaScBIRyBU","spotify:track:5A0ut5JjeNLgGaScBIRyBU","https://api.spotify.com/v1/tracks/5A0ut5JjeNLgGaScBIRyBU","https://api.spotify.com/v1/audio-analysis/5A0ut5JjeNLgGaScBIRyBU",201000,4,"KR"
"221",0.703,0.648,8,-5.547,1,0.0312,0.709,0,0.164,0.693,137.134,"audio_features","3ptp3j48p6tPwGEJUCbSu0","spotify:track:3ptp3j48p6tPwGEJUCbSu0","https://api.spotify.com/v1/tracks/3ptp3j48p6tPwGEJUCbSu0","https://api.spotify.com/v1/audio-analysis/3ptp3j48p6tPwGEJUCbSu0",199733,4,"KR"
"222",0.747,0.618,11,-4.212,1,0.047,0.0742,0,0.107,0.621,102.038,"audio_features","1iArAuiiDPjtZcwO33YeLF","spotify:track:1iArAuiiDPjtZcwO33YeLF","https://api.spotify.com/v1/tracks/1iArAuiiDPjtZcwO33YeLF","https://api.spotify.com/v1/audio-analysis/1iArAuiiDPjtZcwO33YeLF",190957,4,"KR"
"223",0.806,0.906,5,-2.719,1,0.0534,0.05,0.00087,0.0625,0.797,143.975,"audio_features","7GhxPuxjwAbKEiQFMP5Mxd","spotify:track:7GhxPuxjwAbKEiQFMP5Mxd","https://api.spotify.com/v1/tracks/7GhxPuxjwAbKEiQFMP5Mxd","https://api.spotify.com/v1/audio-analysis/7GhxPuxjwAbKEiQFMP5Mxd",191667,4,"KR"
"224",0.461,0.623,11,-5.04,1,0.0369,0.648,0,0.109,0.415,180.174,"audio_features","29O4t4CViDRSDwiutvsOLS","spotify:track:29O4t4CViDRSDwiutvsOLS","https://api.spotify.com/v1/tracks/29O4t4CViDRSDwiutvsOLS","https://api.spotify.com/v1/audio-analysis/29O4t4CViDRSDwiutvsOLS",220627,4,"KR"
"225",0.623,0.848,2,-1.55,1,0.219,0.0539,0,0.31,0.75,159.857,"audio_features","74iLM3khzrxThTy39JDQMC","spotify:track:74iLM3khzrxThTy39JDQMC","https://api.spotify.com/v1/tracks/74iLM3khzrxThTy39JDQMC","https://api.spotify.com/v1/audio-analysis/74iLM3khzrxThTy39JDQMC",1240555,4,"KR"
"226",0.418,0.699,1,-4.787,0,0.0716,0.226,0,0.098,0.422,140.821,"audio_features","0YQO5aF9S0d3E74ZEfB9Dl","spotify:track:0YQO5aF9S0d3E74ZEfB9Dl","https://api.spotify.com/v1/tracks/0YQO5aF9S0d3E74ZEfB9Dl","https://api.spotify.com/v1/audio-analysis/0YQO5aF9S0d3E74ZEfB9Dl",182773,4,"KR"
"227",0.738,0.57,1,-7.935,1,0.219,0.114,0,0.122,0.306,100.009,"audio_features","0da5hji35BCVb7nC8gRQzF","spotify:track:0da5hji35BCVb7nC8gRQzF","https://api.spotify.com/v1/tracks/0da5hji35BCVb7nC8gRQzF","https://api.spotify.com/v1/audio-analysis/0da5hji35BCVb7nC8gRQzF",182400,4,"KR"
"228",0.6,0.678,11,-6.894,1,0.0372,0.0311,0,0.338,0.326,123.991,"audio_features","3V375E3xldRPEEcIKiw83l","spotify:track:3V375E3xldRPEEcIKiw83l","https://api.spotify.com/v1/tracks/3V375E3xldRPEEcIKiw83l","https://api.spotify.com/v1/audio-analysis/3V375E3xldRPEEcIKiw83l",242677,4,"KR"
"229",0.494,0.651,4,-7.971,0,0.378,0.314,0,0.249,0.471,89.587,"audio_features","44f1TNdoQUgf3PUYraCTsH","spotify:track:44f1TNdoQUgf3PUYraCTsH","https://api.spotify.com/v1/tracks/44f1TNdoQUgf3PUYraCTsH","https://api.spotify.com/v1/audio-analysis/44f1TNdoQUgf3PUYraCTsH",203772,4,"KR"
"230",0.583,0.461,4,-5.153,1,0.0321,0.785,1.7e-05,0.13,0.263,79.826,"audio_features","16BS342F89MDqouSxgLaUK","spotify:track:16BS342F89MDqouSxgLaUK","https://api.spotify.com/v1/tracks/16BS342F89MDqouSxgLaUK","https://api.spotify.com/v1/audio-analysis/16BS342F89MDqouSxgLaUK",222868,4,"KR"
"231",0.665,0.919,2,-3.211,1,0.0922,0.00191,0,0.0588,0.782,129.962,"audio_features","4EwNWRBWdZ6bgvxRHlZ8OO","spotify:track:4EwNWRBWdZ6bgvxRHlZ8OO","https://api.spotify.com/v1/tracks/4EwNWRBWdZ6bgvxRHlZ8OO","https://api.spotify.com/v1/audio-analysis/4EwNWRBWdZ6bgvxRHlZ8OO",224793,4,"KR"
"232",0.764,0.47,4,-5.642,0,0.0433,0.533,0,0.133,0.801,119.886,"audio_features","7g97EfyxPG5XZgYmLig9ML","spotify:track:7g97EfyxPG5XZgYmLig9ML","https://api.spotify.com/v1/tracks/7g97EfyxPG5XZgYmLig9ML","https://api.spotify.com/v1/audio-analysis/7g97EfyxPG5XZgYmLig9ML",199629,4,"KR"
"233",0.751,0.731,1,-4.38,1,0.214,0.204,0,0.198,0.763,90.033,"audio_features","7iT56ss42YdtYnNQEnxp9Z","spotify:track:7iT56ss42YdtYnNQEnxp9Z","https://api.spotify.com/v1/tracks/7iT56ss42YdtYnNQEnxp9Z","https://api.spotify.com/v1/audio-analysis/7iT56ss42YdtYnNQEnxp9Z",201428,4,"KR"
