"","href","id","name","type","uri","external_urls.spotify","followers.href","genre","Metric","Value"
"62","https://api.spotify.com/v1/artists/30b9WulBM8sFuBo17nNq9c","30b9WulBM8sFuBo17nNq9c","G-DRAGON","artist","spotify:artist:30b9WulBM8sFuBo17nNq9c","https://open.spotify.com/artist/30b9WulBM8sFuBo17nNq9c",NA,"K-rap","Followers (in Thousands)",2687.157
"63","https://api.spotify.com/v1/artists/2o8gT0fQmFxGNbowbdgeZe","2o8gT0fQmFxGNbowbdgeZe","DPR IAN","artist","spotify:artist:2o8gT0fQmFxGNbowbdgeZe","https://open.spotify.com/artist/2o8gT0fQmFxGNbowbdgeZe",NA,"K-rap","Popularity",65
"64","https://api.spotify.com/v1/artists/2o8gT0fQmFxGNbowbdgeZe","2o8gT0fQmFxGNbowbdgeZe","DPR IAN","artist","spotify:artist:2o8gT0fQmFxGNbowbdgeZe","https://open.spotify.com/artist/2o8gT0fQmFxGNbowbdgeZe",NA,"K-rap","Followers (in Thousands)",420.683
"65","https://api.spotify.com/v1/artists/2u7CP5T30c8ctenzXgEV1W","2u7CP5T30c8ctenzXgEV1W","pH-1","artist","spotify:artist:2u7CP5T30c8ctenzXgEV1W","https://open.spotify.com/artist/2u7CP5T30c8ctenzXgEV1W",NA,"K-rap","Popularity",65
"66","https://api.spotify.com/v1/artists/2u7CP5T30c8ctenzXgEV1W","2u7CP5T30c8ctenzXgEV1W","pH-1","artist","spotify:artist:2u7CP5T30c8ctenzXgEV1W","https://open.spotify.com/artist/2u7CP5T30c8ctenzXgEV1W",NA,"K-rap","Followers (in Thousands)",274.592
"67","https://api.spotify.com/v1/artists/4XpUIb8uuNlIWVKmgKZXC0","4XpUIb8uuNlIWVKmgKZXC0","ZICO","artist","spotify:artist:4XpUIb8uuNlIWVKmgKZXC0","https://open.spotify.com/artist/4XpUIb8uuNlIWVKmgKZXC0",NA,"K-rap","Popularity",64
"68","https://api.spotify.com/v1/artists/4XpUIb8uuNlIWVKmgKZXC0","4XpUIb8uuNlIWVKmgKZXC0","ZICO","artist","spotify:artist:4XpUIb8uuNlIWVKmgKZXC0","https://open.spotify.com/artist/4XpUIb8uuNlIWVKmgKZXC0",NA,"K-rap","Followers (in Thousands)",1179.075
"69","https://api.spotify.com/v1/artists/3hvinNZRzTLoREmqFiKr1b","3hvinNZRzTLoREmqFiKr1b","CHANGMO","artist","spotify:artist:3hvinNZRzTLoREmqFiKr1b","https://open.spotify.com/artist/3hvinNZRzTLoREmqFiKr1b",NA,"K-rap","Popularity",64
"70","https://api.spotify.com/v1/artists/3hvinNZRzTLoREmqFiKr1b","3hvinNZRzTLoREmqFiKr1b","CHANGMO","artist","spotify:artist:3hvinNZRzTLoREmqFiKr1b","https://open.spotify.com/artist/3hvinNZRzTLoREmqFiKr1b",NA,"K-rap","Followers (in Thousands)",295.733
"71","https://api.spotify.com/v1/artists/5snNHNlYT2UrtZo5HCJkiw","5snNHNlYT2UrtZo5HCJkiw","Epik High","artist","spotify:artist:5snNHNlYT2UrtZo5HCJkiw","https://open.spotify.com/artist/5snNHNlYT2UrtZo5HCJkiw",NA,"K-rap","Popularity",63
